@relation 2017-04-13

@attribute 'RSI EXTREME SCALED' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
0,0,0.00002,0.000468,9.181858,no
0,0,0.00002,0.000455,-22.62132,up
0,0,0.000019,0.000416,-4.56648,up
0,0,0.000019,0.000374,-4.012952,up
0,0,0.000018,0.000337,-42.667837,up
0,0,0.000017,0.000307,-5.207556,up
0,0,0.000016,0.00027,-3.334048,up
0,0,0.000015,0.000248,15.711157,no
0,-2,0.000015,0.000247,-17.008789,up
0,0,0.000015,0.000235,18.282361,down
0,0,0.000015,0.000218,22.513868,down
0,-2,0.000015,0.000209,34.481746,down
0,0,0.000015,0.000211,23.735633,down
0,0,0.000016,0.000212,21.739024,down
0,0,0.000014,0.000257,-100.445389,no
0,0,0.000012,0.000275,-86.071632,up
0,0,0.00001,0.000257,-24.883705,down
0,0,0.000008,0.000269,-50.631494,down
0,0,0.000006,0.000279,-46.659765,up
0,0,0.000004,0.00029,-66.46534,up
0,0,0.000001,0.000295,-35.553665,down
0,0,-0.000001,0.000297,-34.978985,down
0,0,-0.000003,0.000305,-38.403252,down
0,0,-0.000004,0.000306,-23.173831,down
0,0,-0.000006,0.000308,-29.219085,down
0,0,-0.000007,0.000322,-54.99952,up
0,0,-0.000009,0.000333,-54.633473,down
0,0,-0.000011,0.000328,-44.231015,down
0,0,-0.000013,0.000351,-70.135584,up
0,0,-0.000015,0.000349,-58.488988,up
0,0,-0.000016,0.000323,-15.185588,up
0,0,-0.000018,0.000298,-55.635513,up
0,0,-0.00002,0.000267,-53.98524,up
0,0,-0.000021,0.000206,-13.086343,up
0,0,-0.000021,0.000222,65.193235,down
0,0,-0.00002,0.000227,35.252212,up
0,0,-0.000019,0.000215,29.711254,up
0,0,-0.000018,0.000218,38.155879,up
0,0,-0.000016,0.000218,28.961691,up
0,0,-0.000015,0.000219,18.30515,no
0,0,-0.000014,0.000223,43.947956,down
0,0,-0.000012,0.000227,42.241183,down
0,0,-0.00001,0.000246,68.640939,up
0,0,-0.000008,0.000265,69.133557,up
0,2,-0.000006,0.000264,9.093911,up
0,0,-0.000005,0.000264,21.965128,up
0,0,-0.000004,0.000261,19.504793,up
0,0,-0.000002,0.000278,64.053231,up
0,1,0,0.000297,91.862062,up
0,0,0.000002,0.000294,65.338635,up
0,0,0.000005,0.000311,63.393966,up
0,0,0.000008,0.000335,97.571195,down
0,0,0.000011,0.000327,73.456004,up
0,0,0.000014,0.000327,60.944748,up
0,0,0.000017,0.00034,49.465281,up
0,0,0.000019,0.000345,44.637681,up
0,0,0.000021,0.000338,24.262373,up
0,0,0.000023,0.000345,53.579597,down
0,0,0.000025,0.000363,72.188362,down
0,0,0.000026,0.000353,45.871005,down
0,0,0.000028,0.000348,41.64694,down
0,0,0.000029,0.000331,15.707174,down
0,0,0.000029,0.000323,-4.335487,down
0,0,0.000029,0.000321,29.605397,down
0,2,0.000028,0.000315,-84.317077,down
0,2,0.000025,0.000331,-91.433297,down
0,2,0.000021,0.000397,-113.857155,down
0,0,0.000016,0.000478,-98.827852,up
0,0,0.000011,0.000526,-73.895271,up
0,0,0.000005,0.000585,-76.069071,up
0,0,0,0.000613,-53.003859,up
0,0,-0.000005,0.000656,-71.381782,up
0,0,-0.00001,0.000662,-39.747386,up
0,0,-0.000014,0.000651,-10.444865,up
0,0,-0.000016,0.00064,-5.469626,up
0,0,-0.000017,0.000627,-3.509459,up
0,0,-0.000017,0.000627,28.394717,no
0,0,-0.000016,0.000612,30.051081,down
0,0,-0.000014,0.000578,33.755481,up
0,0,-0.000011,0.000557,36.267112,down
0,0,-0.000009,0.000535,39.072673,down
0,0,-0.000006,0.000526,40.273335,down
0,0,-0.000004,0.000515,19.020164,down
0,0,-0.000001,0.000507,59.119757,down
0,0,0,0.000507,-3.941317,down
0,0,0.000002,0.000515,32.598322,down
0,0,0.000002,0.000498,3.012262,down
0,0,0.000003,0.00047,0,down
0,0,0.000003,0.00045,-2.667655,down
0,0,0.000001,0.000437,-62.929103,down
0,0,-0.000001,0.000466,-78.934706,down
0,0,-0.000005,0.000456,-81.201098,down
0,0,-0.000008,0.000488,-78.265379,down
0,0,-0.000012,0.000522,-62.605234,down
0,0,-0.000017,0.000601,-86.456783,down
0,0,-0.000022,0.000718,-95.167378,down
0,0,-0.000029,0.000791,-80.358393,down
0,0,-0.000035,0.00083,-64.087083,down
0,0,-0.00004,0.000837,-46.970178,down
0,0,-0.000045,0.000835,-44.691696,down
0,0,-0.000049,0.000845,-57.398711,down
-2,0,-0.000054,0.000877,-71.496529,down
-2,0,-0.00006,0.000952,-80.394197,up
-2,0,-0.000067,0.00098,-80.431197,up
-2,0,-0.000075,0.001111,-91.051164,up
-1,0,-0.000083,0.001126,-68.748416,up
0,0,-0.00009,0.001109,-49.679599,up
0,0,-0.000095,0.001054,-35.486123,up
0,0,-0.000099,0.000966,-22.971288,down
0,0,-0.000101,0.000918,-19.936477,down
0,0,-0.000102,0.000884,-27.611634,up
0,0,-0.000101,0.000829,-1.810426,up
0,0,-0.000099,0.000778,28.541991,up
0,0,-0.000096,0.000699,-11.738567,up
0,0,-0.000093,0.000657,-8.676606,up
0,0,-0.00009,0.000642,-3.581882,up
0,0,-0.000086,0.00064,37.204535,up
0,2,-0.000081,0.00064,49.710261,up
0,2,-0.000076,0.000607,37.541356,up
0,2,-0.000069,0.000651,88.880577,down
0,0,-0.00006,0.000724,82.886845,up
0,0,-0.000053,0.000763,54.94078,up
0,0,-0.000043,0.000879,89.566735,down
0,0,-0.000034,0.000929,68.326245,up
0,0,-0.000026,0.000842,20.061997,up
0,-2,-0.000018,0.000841,69.759023,up
0,-2,-0.000009,0.000858,66.586091,up
0,-2,-0.000001,0.000864,53.734161,up
0,-2,0.000007,0.000884,56.361209,up
0,-2,0.000015,0.000964,82.354999,down
0,-2,0.000026,0.001129,104.575997,down
0,-2,0.000038,0.001208,73.577471,down
0,0,0.000049,0.001284,64.472413,down
0,0,0.000059,0.001277,54.262163,up
0,0,0.000066,0.001199,21.427318,up
0,0,0.000072,0.001108,23.383026,up
0,0,0.000077,0.001073,39.435203,down
0,0,0.000081,0.001037,37.608381,down
0,0,0.000085,0.000973,45.860728,down
0,0,0.000087,0.000941,22.305427,down
0,0,0.00009,0.000931,43.378213,down
0,0,0.000091,0.000847,5.429548,down
0,0,0.00009,0.00084,-25.963883,down
0,0,0.000086,0.000846,-51.548024,down
0,0,0.00008,0.000781,-75.279515,down
0,0,0.000072,0.00082,-67.930934,down
0,0,0.000064,0.000882,-72.463198,down
0,0,0.000053,0.000995,-87.566716,up
0,0,0.000043,0.001046,-58.399586,down
0,0,0.000033,0.001104,-57.087259,down
0,0,0.000023,0.001135,-71.573109,down
0,0,0.000013,0.001155,-56.269675,down
0,0,0.000004,0.001132,-38.501242,down
0,-2,-0.000005,0.001144,-56.886413,no
0,-2,-0.000015,0.001253,-74.0837,up
0,0,-0.000025,0.001288,-50.700672,up
0,0,-0.000033,0.001257,-36.115158,down
0,0,-0.000039,0.001194,-25.033249,down
0,0,-0.000044,0.00109,-32.290181,down
0,0,-0.000048,0.000994,-10.565077,down
0,0,-0.000051,0.000782,-13.176261,down
0,0,-0.000053,0.000644,-41.302406,down
0,0,-0.000058,0.000678,-105.637357,down
0,0,-0.000063,0.000697,-77.924579,down
0,0,-0.000068,0.000698,-54.878678,down
0,0,-0.000073,0.000755,-88.10314,down
0,0,-0.000081,0.000918,-108.101032,down
0,0,-0.00009,0.001108,-99.53233,down
0,0,-0.0001,0.001257,-91.916868,down
0,0,-0.000112,0.001468,-97.483075,down
0,0,-0.000125,0.001612,-76.040239,down
0,0,-0.000136,0.001684,-60.700942,down
0,0,-0.000146,0.00169,-50.546483,down
0,0,-0.000156,0.001749,-57.624937,down
-1,0,-0.000167,0.001965,-81.634577,down
-2,0,-0.000179,0.002128,-74.450346,down
-2,0,-0.000191,0.002215,-64.920993,down
-2,0,-0.000202,0.002249,-60.645287,down
-2,0,-0.000215,0.002361,-73.285186,up
-1,0,-0.000226,0.002307,-55.527337,down
-1,0,-0.000237,0.002247,-60.655294,down
-1,0,-0.000247,0.00219,-59.858217,down
