@relation 2017-04-25

@attribute 'RSI EXTREME SCALED' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
0,0,-0.000014,0.000353,-70.257495,down
0,0,-0.000017,0.000399,-82.231603,down
0,0,-0.000022,0.000574,-126.355958,up
-2,0,-0.000028,0.000703,-102.465802,up
-2,0,-0.000035,0.000779,-81.374057,up
-2,0,-0.000042,0.000829,-72.837195,up
-1,0,-0.000048,0.000864,-56.23008,up
0,0,-0.000053,0.000845,-31.939246,down
0,-2,-0.000057,0.000808,-37.866618,down
0,0,-0.00006,0.000772,-34.454773,up
0,0,-0.000062,0.000758,-43.130281,up
0,-2,-0.000065,0.000744,-36.692463,up
0,0,-0.000067,0.000728,-38.196147,up
0,0,-0.000068,0.000692,-21.398771,up
0,0,-0.000068,0.000637,-6.437613,up
0,0,-0.000066,0.000593,19.377226,up
0,0,-0.000064,0.000559,33.284676,up
0,0,-0.000061,0.000528,33.356314,up
0,0,-0.000056,0.000528,63.680236,up
0,0,-0.000051,0.000492,57.683557,up
0,0,-0.000045,0.000549,97.09886,up
1,0,-0.000037,0.000713,115.175617,no
0,0,-0.000029,0.000772,74.766984,up
0,0,-0.000021,0.000794,59.681689,up
0,0,-0.000013,0.000812,55.696457,up
0,0,-0.000005,0.000837,64.759422,down
0,0,0.000002,0.000877,67.422156,no
0,0,0.00001,0.00092,59.648592,down
0,0,0.000017,0.000911,32.265348,up
0,0,0.000022,0.000893,28.991188,up
0,0,0.000026,0.000849,28.039321,up
0,0,0.00003,0.000816,47.54031,no
0,0,0.000034,0.000745,39.983794,down
0,0,0.000038,0.000679,40.078083,down
0,0,0.000041,0.00061,37.716323,down
0,0,0.000044,0.000558,34.926346,no
0,0,0.000046,0.000507,35.867727,down
0,0,0.000047,0.00042,12.604096,up
0,0,0.000048,0.000366,-17.22194,up
0,0,0.000048,0.000263,-2.279623,up
0,0,0.000047,0.00024,32.982943,down
0,0,0.000047,0.000237,33.730962,down
0,0,0.000047,0.000231,14.291373,up
0,0,0.000046,0.000211,-16.11302,up
0,2,0.000045,0.000192,-1.043636,up
0,0,0.000043,0.000192,-11.479997,up
0,0,0.000042,0.000194,-47.981031,up
0,0,0.000041,0.000209,77.867748,up
0,1,0.00004,0.000221,84.004808,up
0,0,0.00004,0.000221,68.023888,up
0,0,0.00004,0.000217,62.126448,up
0,0,0.000041,0.000258,94.690364,up
0,0,0.000042,0.000306,94.135745,down
0,0,0.000044,0.000405,114.305744,down
0,0,0.000046,0.00045,76.256357,down
0,0,0.000048,0.000455,29.227681,down
0,0,0.000049,0.000471,46.467735,down
0,0,0.00005,0.000468,26.518377,down
0,0,0.00005,0.000442,14.945099,up
0,0,0.00005,0.000427,21.060195,up
0,0,0.000049,0.000421,-3.801451,up
0,0,0.000047,0.000414,8.452313,up
0,0,0.000046,0.0004,1.249146,up
0,0,0.000044,0.000378,28.077623,up
0,2,0.000043,0.000368,49.958331,up
0,2,0.000043,0.000348,51.692987,up
0,2,0.000044,0.000317,89.914423,up
0,0,0.000045,0.00035,86.046108,up
0,0,0.000046,0.000381,78.197987,up
0,0,0.000048,0.000391,60.403708,up
0,0,0.00005,0.000451,98.046863,up
