@relation 2017-03-13

@attribute 'RSI EXTREME SCALED' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
0,0,0.000031,0.000355,-80.220049,up
0,0,0.000028,0.000376,-57.212678,up
0,0,0.000024,0.000397,-56.415836,up
0,0,0.000022,0.000406,36.969482,up
0,0,0.00002,0.000411,29.657024,up
0,0,0.00002,0.000434,56.731897,down
0,0,0.000021,0.000451,50.969725,down
0,0,0.000023,0.000483,64.136025,down
0,-2,0.000025,0.00049,28.972051,up
0,0,0.000026,0.000493,19.664547,no
0,0,0.000026,0.000493,-7.905552,up
0,-2,0.000027,0.000499,26.649681,up
0,0,0.000027,0.000502,20.917798,up
0,0,0.000028,0.00051,39.410344,down
0,0,0.000029,0.000502,17.139263,up
0,0,0.000029,0.000503,28.800882,up
0,0,0.000029,0.000505,28.507866,no
0,0,0.000029,0.000506,29.427524,up
0,0,0.000029,0.00047,10.420374,up
0,0,0.000029,0.000438,32.871915,down
0,0,0.000029,0.000372,26.10502,down
0,0,0.000029,0.0003,11.652514,down
0,0,0.000029,0.00018,38.351833,down
0,0,0.000028,0.000176,-18.721992,down
0,0,0.000028,0.000169,-21.268663,down
0,0,0.000027,0.00017,-30.016233,down
0,0,0.000025,0.000174,-48.177304,down
0,0,0.000024,0.000158,-57.417249,down
0,0,0.000022,0.000169,-61.959304,down
0,0,0.000019,0.000179,-56.576862,down
0,0,0.000017,0.000164,-63.409919,down
0,0,0.000014,0.000249,-131.162964,down
0,0,0.000011,0.000287,-87.682014,down
0,0,0.000007,0.000318,-85.117184,down
0,0,0.000003,0.000355,-77.482082,down
-1,0,-0.000001,0.000379,-67.48536,down
-2,0,-0.000005,0.000429,-86.286009,up
0,0,-0.000009,0.000438,-52.313826,down
-1,0,-0.000012,0.000468,-65.666571,up
0,0,-0.000016,0.000472,-59.065811,up
0,0,-0.00002,0.000482,-64.136221,up
0,0,-0.000023,0.00047,-35.558586,up
0,0,-0.000025,0.000447,-48.77983,up
0,0,-0.000027,0.000422,-14.443434,up
0,2,-0.000028,0.000391,-6.392028,up
0,0,-0.000028,0.00036,18.33864,up
0,0,-0.000028,0.000337,33.494349,up
0,0,-0.000026,0.00032,43.161897,up
0,1,-0.000024,0.000312,57.720183,up
0,0,-0.000022,0.0003,54.312593,up
0,0,-0.000019,0.000288,57.697699,up
0,0,-0.000017,0.000305,57.743727,down
0,0,-0.000014,0.000316,47.463839,up
0,0,-0.000011,0.000344,68.900371,down
0,0,-0.000009,0.000356,46.622041,up
0,0,-0.000006,0.000368,47.221453,down
0,0,-0.000004,0.000354,27.721358,up
0,0,-0.000002,0.000361,45.4156,up
0,0,0,0.000347,36.331461,down
0,0,0.000003,0.000358,78.022883,down
0,0,0.000005,0.000308,19.130175,down
0,0,0.000007,0.000299,59.50715,down
0,0,0.000008,0.000242,39.725083,down
0,0,0.00001,0.000212,-6.616225,up
0,2,0.00001,0.00018,-12.744632,up
0,2,0.000011,0.000168,-27.929349,up
0,2,0.00001,0.000176,-71.03104,up
0,0,0.00001,0.000173,17.356706,up
0,0,0.00001,0.000172,-6.391596,up
