@relation 2017-03-06

@attribute 'RSI EXTREME SCALED' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
0,0,-0.000033,0.000346,-117.434758,up
0,0,-0.000034,0.000345,-6.384863,up
0,0,-0.000034,0.000329,7.892388,no
0,0,-0.000033,0.000315,4.437741,up
0,0,-0.000032,0.000315,-13.022847,up
0,0,-0.000031,0.000316,-17.739827,up
0,0,-0.00003,0.000309,15.544648,down
0,0,-0.000028,0.000301,17.252057,down
0,-2,-0.000027,0.00026,24.191659,down
0,0,-0.000025,0.00026,24.191659,down
0,0,-0.000023,0.000256,25.355297,down
0,-2,-0.000022,0.000238,-34.041202,down
0,0,-0.000021,0.000237,0.42213,down
0,0,-0.00002,0.000239,-23.043283,down
0,0,-0.000019,0.000237,-5.055153,down
0,0,-0.000019,0.000243,-36.275169,down
0,0,-0.000019,0.000268,-74.360056,down
0,0,-0.00002,0.000281,-54.044978,up
0,0,-0.000021,0.000286,-30.806162,down
0,0,-0.000022,0.000325,-84.812742,no
0,0,-0.000024,0.000337,-99.020028,down
0,0,-0.000027,0.000384,-86.416148,up
0,0,-0.000028,0.000375,-1.067521,down
0,0,-0.000029,0.000374,-34.759483,up
0,0,-0.00003,0.00039,-54.840255,up
0,0,-0.000031,0.000422,-69.630916,up
0,0,-0.000033,0.000426,-54.16677,up
0,0,-0.000034,0.000413,-31.981797,up
0,0,-0.000033,0.000435,78.935354,down
0,0,-0.000031,0.000413,12.842354,up
0,0,-0.000029,0.000409,57.21374,up
0,0,-0.000026,0.000411,27.522629,up
0,0,-0.000023,0.000408,37.738184,down
0,0,-0.000021,0.000406,23.371896,up
0,0,-0.000018,0.000415,51.102886,up
0,0,-0.000014,0.000456,74.115857,down
0,0,-0.00001,0.000475,50.907898,up
0,0,-0.000007,0.000478,19.87514,up
0,0,-0.000004,0.000512,62.337423,up
0,0,-0.000001,0.000523,52.414399,up
0,0,0.000002,0.000504,29.969005,up
0,0,0.000005,0.000481,42.162054,up
0,0,0.000008,0.000496,42.350848,up
0,0,0.000011,0.000518,62.355822,up
0,2,0.000015,0.00052,63.214462,up
0,0,0.000018,0.000465,41.911867,up
0,0,0.000021,0.000406,49.540046,up
0,0,0.000024,0.00036,63.394507,up
0,1,0.000027,0.000401,78.249756,down
0,0,0.00003,0.00041,74.135317,down
0,0,0.000033,0.000432,61.106855,down
0,0,0.000036,0.000432,59.459724,down
0,0,0.000039,0.000446,69.113215,down
0,0,0.00004,0.000403,-6.943809,up
0,0,0.000041,0.000382,-4.979032,up
0,0,0.00004,0.000377,-1.059998,up
0,0,0.000039,0.000363,-14.030978,up
0,0,0.000038,0.000311,-14.78687,up
0,0,0.000037,0.000306,-15.993207,down
0,0,0.000035,0.000298,-11.411259,down
0,0,0.000033,0.000266,4.885052,down
0,0,0.000032,0.00025,-21.18835,down
0,0,0.00003,0.000234,-0.426911,down
0,0,0.000028,0.000259,-74.259244,down
0,2,0.000025,0.000309,-95.600635,up
0,2,0.000022,0.000358,-89.680637,up
0,2,0.000017,0.000403,-80.337438,up
0,0,0.000013,0.000437,-69.532274,up
-1,0,0.000009,0.000452,-61.753667,down
0,0,0.000005,0.000442,-40.049887,up
0,0,0.000002,0.000427,-32.107232,up
0,0,-0.000001,0.000399,-24.340015,up
0,0,-0.000004,0.000346,-48.527762,down
0,0,-0.000007,0.000367,-62.9592,up
0,0,-0.000009,0.00036,-11.661044,up
0,0,-0.00001,0.00035,17.976627,down
0,0,-0.00001,0.000343,2.62146,up
0,0,-0.000011,0.000342,-39.819567,up
0,0,-0.000011,0.000332,26.490887,up
0,0,-0.000011,0.000314,5.407907,up
0,0,-0.000011,0.00028,23.902861,up
0,0,-0.00001,0.000285,79.27385,down
0,0,-0.000008,0.000247,38.474232,up
0,0,-0.000006,0.000305,105.460463,down
0,0,-0.000004,0.000319,53.327183,up
0,0,-0.000002,0.000316,25.329903,up
0,0,-0.000002,0.000313,-38.628635,up
0,0,-0.000001,0.000309,34.341273,down
0,0,0,0.000305,42.929193,down
0,0,0.000002,0.000314,50.285586,down
0,0,0.000003,0.000312,16.344076,down
0,0,0.000003,0.000316,-33.909567,down
0,0,0.000002,0.000312,-47.373646,down
0,0,0,0.000354,-107.711922,down
0,0,-0.000002,0.000394,-78.206854,down
0,0,-0.000006,0.00044,-78.81912,down
0,0,-0.000009,0.000449,-35.156714,down
0,0,-0.000011,0.000456,-42.734113,down
