@relation 2017-04-06

@attribute 'RSI EXTREME SCALED' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
0,0,0.000024,0.000184,67.347555,down
0,0,0.000024,0.000182,-9.912429,down
0,0,0.000024,0.000183,31.11052,down
0,0,0.000024,0.000184,18.500405,down
0,0,0.000022,0.00021,-84.882288,down
0,0,0.00002,0.00023,-74.194581,down
0,0,0.000018,0.000241,-52.30738,down
0,0,0.000015,0.000271,-79.456111,down
0,-2,0.000013,0.000267,-24.764999,down
0,0,0.00001,0.00028,-55.625667,down
0,0,0.000008,0.00029,-52.336062,down
0,-2,0.000004,0.000387,-116.764295,up
0,0,-0.000001,0.000496,-109.227807,up
0,0,-0.000007,0.000583,-91.466772,up
0,0,-0.000012,0.000619,-62.349368,up
0,0,-0.000017,0.000636,-50.165124,up
0,0,-0.000022,0.00065,-45.256216,down
0,0,-0.000026,0.000657,-40.933265,down
0,0,-0.000029,0.00063,-34.437124,up
0,0,-0.000031,0.0006,-31.152878,up
0,0,-0.000033,0.000553,-11.217701,down
0,0,-0.000035,0.000545,-46.39908,up
0,0,-0.000036,0.000504,-36.131813,up
0,0,-0.000037,0.000444,-12.831891,up
0,0,-0.000038,0.000426,-10.091318,up
0,0,-0.000038,0.000405,-11.858179,up
0,0,-0.000038,0.000369,-8.402388,up
0,0,-0.000037,0.000355,32.112676,down
0,0,-0.000035,0.0003,41.994168,down
0,0,-0.000033,0.000262,29.006366,up
0,0,-0.000032,0.000209,13.845874,up
0,0,-0.00003,0.000217,47.06161,down
0,0,-0.000028,0.000206,52.326171,down
0,0,-0.000026,0.000176,20.479684,up
0,0,-0.000024,0.000173,39.194548,up
0,0,-0.000023,0.000173,24.901399,up
0,0,-0.000022,0.000175,-43.410856,up
0,0,-0.00002,0.000172,11.595421,up
0,0,-0.000019,0.000176,42.012239,up
0,0,-0.000017,0.000215,102.297922,up
0,0,-0.000014,0.000251,91.543421,up
0,0,-0.000012,0.000233,40.798938,up
0,0,-0.000009,0.000218,37.634085,up
0,0,-0.000007,0.000234,72.147979,up
0,2,-0.000004,0.000276,97.858851,down
0,0,-0.000001,0.000292,72.566153,down
0,0,0.000002,0.000283,28.24018,down
0,0,0.000005,0.000303,62.35595,down
0,1,0.000007,0.000336,75.635782,down
0,0,0.00001,0.000343,46.676797,down
0,0,0.000012,0.000327,3.058876,up
0,0,0.000013,0.000322,-16.448942,up
0,0,0.000014,0.000325,35.730384,up
0,0,0.000014,0.000318,38.004351,down
0,0,0.000015,0.00031,16.471443,up
0,0,0.000016,0.000314,61.145257,down
0,0,0.000017,0.000263,27.390091,up
0,0,0.000018,0.00024,55.311736,up
0,0,0.000019,0.000217,-24.835791,up
0,0,0.000019,0.000227,52.009638,up
0,0,0.00002,0.000235,47.172687,up
0,0,0.000021,0.000256,90.177461,up
0,0,0.000023,0.000266,79.260183,down
0,0,0.000024,0.000261,2.296256,up
0,2,0.000025,0.000267,38.152508,down
0,2,0.000026,0.000285,60.397369,down
0,2,0.000027,0.000303,76.654958,down
0,0,0.000028,0.00031,39.735608,down
0,0,0.000029,0.000309,1.293354,down
0,0,0.000029,0.000308,0.325096,down
0,0,0.000028,0.000286,10.135354,down
0,0,0.000026,0.000275,-84.7588,down
0,0,0.000023,0.000353,-112.482757,up
0,0,0.000019,0.000402,-84.97714,up
0,0,0.000015,0.000441,-74.850333,up
0,0,0.00001,0.000474,-65.444697,up
0,0,0.000005,0.000511,-65.204089,up
0,0,0.000001,0.000535,-54.733498,up
0,0,-0.000003,0.000547,-37.687306,no
