@relation 2017-05-11

@attribute 'RSI EXTREME SCALED' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
-1,0,-0.000045,0.000287,-95.760849,up
-2,0,-0.000047,0.000366,-108.320512,up
0,0,-0.000049,0.000386,-61.714181,up
0,0,-0.000051,0.000403,-59.266952,down
0,0,-0.000052,0.000406,-57.90237,down
0,0,-0.000053,0.000386,-39.594445,down
0,0,-0.000053,0.000368,-36.188802,down
0,0,-0.000053,0.000342,-22.228304,down
0,-2,-0.000054,0.000363,-70.328105,down
0,0,-0.000054,0.000372,-72.250572,down
0,0,-0.000055,0.000375,-55.422347,down
0,-2,-0.000055,0.00037,-35.682192,down
0,0,-0.000056,0.000378,-60.901783,down
0,0,-0.000056,0.000385,-68.588783,no
0,0,-0.000057,0.000372,-58.530081,up
0,0,-0.000058,0.000359,-54.113786,up
0,0,-0.000058,0.000328,-40.28774,no
0,0,-0.000058,0.000316,-77.29496,up
0,0,-0.000058,0.000302,-48.009363,up
0,0,-0.000058,0.000282,-18.430911,down
0,0,-0.000057,0.000276,-29.310767,down
0,0,-0.000056,0.000278,-20.837576,up
0,0,-0.000055,0.000267,-10.874416,up
0,0,-0.000053,0.000256,-0.781614,up
0,0,-0.000052,0.000255,-43.187096,up
0,0,-0.000051,0.000246,-61.745779,up
0,0,-0.000049,0.000218,25.721652,down
0,0,-0.000047,0.000168,50.599944,up
0,0,-0.000044,0.000193,92.59739,down
0,0,-0.000041,0.000222,85.723979,down
0,0,-0.000038,0.000228,46.891616,down
0,0,-0.000035,0.00022,14.059174,up
0,0,-0.000032,0.000226,38.07211,up
0,0,-0.000029,0.000232,50.081015,up
0,0,-0.000026,0.000234,37.574599,up
0,0,-0.000024,0.000231,-6.502179,up
0,0,-0.000022,0.000232,25.819889,up
0,0,-0.00002,0.000212,31.647903,up
0,0,-0.000018,0.000209,45.949322,down
0,0,-0.000015,0.000238,85.35083,down
0,0,-0.000013,0.000237,39.188302,down
0,0,-0.00001,0.000242,50.344069,down
0,0,-0.000008,0.000242,30.588699,down
0,0,-0.000006,0.00024,12.107662,down
0,2,-0.000004,0.000214,17.285427,down
0,0,-0.000003,0.000152,14.435932,down
0,0,-0.000002,0.000146,-1.372796,down
0,0,-0.000001,0.000146,-42.55669,no
0,1,-0.000001,0.00015,-50.498618,down
0,0,-0.000002,0.000216,-128.608639,up
0,0,-0.000004,0.00027,-104.693712,up
0,0,-0.000006,0.0003,-78.097683,up
0,0,-0.000008,0.0003,-4.337703,no
0,0,-0.000009,0.000303,-28.42684,down
0,0,-0.00001,0.000302,-7.611108,down
0,0,-0.00001,0.000302,-20.847816,down
0,0,-0.00001,0.000305,24.262295,down
0,0,-0.00001,0.000304,-1.314127,down
0,0,-0.00001,0.000343,-83.154104,down
0,0,-0.000012,0.000358,-78.022883,down
0,0,-0.000016,0.000538,-132.809917,down
0,0,-0.000023,0.000763,-127.238986,up
0,0,-0.00003,0.000856,-84.125698,up
0,0,-0.000037,0.000887,-54.241533,down
0,2,-0.000044,0.000928,-61.850181,down
0,2,-0.00005,0.000953,-55.288107,down
0,2,-0.000056,0.000976,-55.11141,down
0,0,-0.000062,0.000981,-42.415869,down
0,0,-0.000066,0.000977,-38.384016,down
0,0,-0.000071,0.00105,-67.260214,up
0,0,-0.000076,0.001095,-54.877979,up
0,0,-0.000081,0.00114,-56.918466,up
0,0,-0.000085,0.001104,-32.418773,down
