@relation 2017-03-29

@attribute 'RSI EXTREME SCALED' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
0,0,-0.000018,0.00025,-22.78747,down
0,0,-0.000018,0.000221,-2.709833,down
0,0,-0.000019,0.000251,-84.563553,down
0,0,-0.00002,0.000274,-84.899351,up
0,0,-0.000022,0.00031,-93.658093,down
0,0,-0.000024,0.000275,-67.008848,down
0,0,-0.000027,0.000314,-101.336086,down
0,0,-0.000029,0.00034,-70.953357,down
0,-2,-0.000031,0.000346,-33.236612,down
0,0,-0.000033,0.000371,-69.00044,down
0,0,-0.000035,0.000382,-52.148813,down
0,-2,-0.000037,0.000414,-76.015419,up
0,0,-0.000039,0.000446,-70.010789,up
0,0,-0.000041,0.000452,-50.876116,no
0,0,-0.000043,0.000458,-49.801131,up
0,0,-0.000045,0.000446,-45.526825,up
0,0,-0.000046,0.000434,-28.793227,down
0,0,-0.000046,0.000415,-39.036145,down
0,0,-0.000047,0.000373,-31.62448,down
0,0,-0.000047,0.000357,-17.948237,down
0,0,-0.000047,0.000311,-26.709133,up
0,0,-0.000046,0.00024,-64.516863,up
0,0,-0.000047,0.000243,-80.301499,up
0,0,-0.000047,0.000255,-84.188394,up
0,0,-0.000047,0.000249,-11.258698,up
0,0,-0.000046,0.000236,57.191711,up
0,0,-0.000044,0.000258,72.34232,up
0,0,-0.00004,0.000311,101.1567,no
0,0,-0.000036,0.00033,82.227463,up
0,0,-0.000032,0.000349,57.897722,up
0,0,-0.000028,0.000376,67.02744,up
0,0,-0.000023,0.000396,59.314553,up
0,0,-0.000019,0.000416,61.269273,down
0,0,-0.000014,0.000447,66.051789,down
0,0,-0.00001,0.000472,62.106281,down
0,0,-0.000006,0.000483,48.23709,down
0,0,-0.000002,0.000498,47.215916,down
0,0,0.000002,0.000493,28.010563,down
0,0,0.000005,0.000488,28.879818,down
0,0,0.000007,0.000487,29.786705,down
0,0,0.000009,0.000471,-1.274075,down
0,0,0.00001,0.000432,-5.08781,down
0,0,0.00001,0.000372,-31.45903,down
0,0,0.000009,0.000272,-42.28377,down
0,2,0.000008,0.000237,-76.405493,down
0,0,0.000006,0.00025,-79.215845,down
0,0,0.000005,0.000279,-82.419278,up
0,0,0.000002,0.000307,-76.210987,up
0,1,0,0.000327,-61.485215,up
-1,0,-0.000002,0.000352,-65.000513,up
-2,0,-0.000005,0.000383,-70.774129,up
0,0,-0.000007,0.000381,-16.526456,up
0,0,-0.000008,0.000373,1.072305,down
0,0,-0.000008,0.000355,9.303391,no
0,0,-0.000008,0.000329,7.297901,no
0,0,-0.000008,0.000308,10.716842,up
0,0,-0.000007,0.000279,15.439209,down
0,0,-0.000007,0.000262,4.191617,no
