@relation v1

@attribute 'Candle body' numeric
@attribute 'Upper shadow' numeric
@attribute 'Lower shadow' numeric
@attribute 'is Bullish' numeric
@attribute RSI numeric
@attribute 'RSI SCALED' numeric
@attribute 'RSI EXTREME TOUCHED' numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI SCALED' numeric
@attribute 'CCI CHANNEL BREAK' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
0.00003,0.00011,0.00003,0,2,2,-1,-1,-1,-1,0,0,-0.000061,0.000619,-44.437644,no
0.00006,0.00004,0.00003,-1,2,2,-1,-1,-2,-2,0,0,-0.000064,0.000649,-54.227697,up
0.00004,0.00007,0.00007,0,2,2,0,0,-1,-1,0,0,-0.000066,0.000651,-35.153113,no
0.00007,0.00008,0.00008,0,3,3,0,0,-1,-1,0,0,-0.000067,0.000648,-14.814885,down
0.00002,0.00006,0.00002,0,3,3,0,0,0,0,0,0,-0.000065,0.000642,-7.013135,down
0.00009,0.00001,0,-1,3,3,0,0,0,0,0,0,-0.000064,0.000604,-28.799699,no
0.00005,0.00002,0,-1,3,3,0,0,0,0,0,0,-0.000063,0.000548,-25.915818,up
0,0.00002,0.00001,-1,3,3,0,0,-1,-1,0,0,-0.000062,0.000497,-22.936883,up
0,0.00002,0.00003,-1,3,3,0,0,0,0,0,0,-0.00006,0.000428,-15.659132,up
0.00002,0.00002,0.00003,-1,3,3,0,0,0,0,0,0,-0.000058,0.000389,7.203205,up
0.00006,0.00004,0,-1,2,2,0,0,0,0,0,0,-0.000055,0.000385,-16.344695,up
0.00002,0.00002,0.00003,0,4,4,0,0,0,0,0,0,-0.000053,0.000381,0.524368,up
0.00032,0.00034,0.00032,0,4,4,1,1,4,4,2,1,-0.000045,0.000547,126.344467,down
0.00004,0.00005,0,-1,4,4,0,0,4,4,2,1,-0.000036,0.000629,86.609603,down
0.00003,0,0,-1,4,4,0,0,3,3,1,1,-0.000026,0.000668,64.679646,down
0.00009,0,0.00001,-1,4,4,0,0,1,1,0,0,-0.000017,0.000666,28.978562,down
0.00006,0,0,-1,3,3,0,0,0,0,0,0,-0.000012,0.00066,17.722823,up
0,0.00001,0.00001,-1,3,3,0,0,0,0,0,0,-0.000007,0.000631,20.761799,down
0.00006,0.00002,0.00001,-1,3,3,0,0,0,0,0,0,-0.000004,0.00059,1.694246,down
0.00001,0.00002,0.00009,0,3,3,0,0,0,0,0,0,-0.000002,0.000587,16.53671,down
0.00003,0,0,-1,3,3,0,0,0,0,0,0,-0,0.000577,4.503726,down
0.00009,0.00009,0.00014,0,3,3,0,0,0,0,0,0,0.000001,0.000557,22.27465,down
0.00006,0,0.00002,-1,3,3,0,0,0,0,0,0,0.000002,0.000543,-4.788815,down
0,0.00001,0,-1,3,3,0,0,0,0,0,0,0.000002,0.000541,-12.571056,down
0.00001,0.00001,0.00002,0,3,3,0,0,0,0,0,0,0.000001,0.00054,-5.5577,down
0.00004,0,0.00003,-1,3,3,0,0,-1,-1,0,0,-0,0.000528,-21.984843,down
0.00006,0.00002,0,-1,2,2,-1,-2,-1,-1,0,0,-0.000002,0.000525,-41.337552,down
0.00016,0,0,-1,1,1,-1,-2,-3,-3,-2,-1,-0.000007,0.000589,-88.649834,up
0.00001,0.00003,0.00001,0,2,2,-1,-2,-3,-3,-2,-1,-0.000014,0.000637,-73.50735,down
0,0.00002,0.00001,-1,2,2,-1,-1,-3,-3,-2,-1,-0.000021,0.000688,-68.13085,down
0.00002,0.00002,0.00002,0,2,2,0,0,-2,-2,0,0,-0.000027,0.000714,-53.10349,down
0.00002,0,0,-1,2,2,-1,-1,-2,-2,0,0,-0.000033,0.000754,-58.59704,up
0,0,0,-1,2,2,0,0,-2,-2,0,0,-0.000038,0.000699,-52.945007,down
0.00001,0.00005,0,-1,2,2,-1,-1,-1,-1,0,0,-0.000043,0.000657,-55.07814,down
0.00001,0,0,-1,2,2,-1,-1,-1,-1,0,0,-0.000048,0.00062,-51.487203,down
0.00002,0.00002,0.00003,0,2,2,-1,-2,-1,-1,0,0,-0.000051,0.00061,-37.893365,down
0.00002,0.00002,0.00002,0,2,2,-1,-1,-1,-1,0,0,-0.000053,0.000601,-28.142492,down
0.00019,0,0.00002,-1,2,2,-1,-2,-2,-2,0,0,-0.000056,0.000643,-78.734006,down
0.00018,0,0.00009,-1,1,1,-1,-2,-4,-4,-2,-1,-0.000063,0.000786,-105.464528,up
0.00005,0.00005,0.00005,0,2,2,-1,-2,-3,-3,-2,-1,-0.000071,0.000838,-77.905616,up
0.00007,0.00014,0.00007,0,2,2,-1,-1,-2,-2,0,0,-0.000078,0.000845,-53.014967,up
0.00003,0.00003,0.00003,0,2,2,0,0,-2,-2,0,0,-0.000083,0.000806,-44.567269,up
0.00003,0.00001,0.00002,-1,2,2,0,0,-1,-1,0,0,-0.000086,0.000778,-40.727514,up
0.00001,0.00005,0,-1,2,2,0,0,-1,-1,0,0,-0.000089,0.000742,-34.757918,up
0.00004,0.00004,0.00004,0,2,2,0,0,0,0,0,0,-0.000089,0.000672,-18.146907,up
0.0003,0.0003,0.0003,0,4,4,0,0,1,1,0,0,-0.000084,0.000677,79.299794,down
0.00002,0.00004,0,-1,3,3,0,0,2,2,0,0,-0.000075,0.000681,64.013902,down
0.00009,0.00009,0.00009,0,4,4,0,0,3,3,1,1,-0.000064,0.000759,77.781536,down
0.00007,0.00001,0.00007,-1,3,3,0,0,2,2,0,0,-0.000053,0.000792,52.251448,down
0.00021,0,0.00005,-1,3,3,0,0,0,0,0,0,-0.000044,0.000791,-0.252785,down
0.00003,0,0.00005,-1,3,3,0,0,0,0,0,0,-0.000038,0.000786,0.763372,down
0.00005,0.00002,0.00003,-1,3,3,0,0,0,0,0,0,-0.000035,0.000788,-15.617002,up
