@relation '3mdata-weka.filters.unsupervised.attribute.Remove-R1-7,9-12'

@attribute 'RSI EXTREME SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
0,0.000136,0.000772,19.678952,down
0,0.00013,0.00065,-0.923323,down
0,0.000123,0.000551,-13.437343,down
0,0.000116,0.000505,-17.827026,down
0,0.000108,0.000479,-37.157999,down
0,0.0001,0.00048,-20.200937,down
0,0.000092,0.00048,-25.819329,down
0,0.000082,0.000514,-69.406308,up
0,0.000072,0.00054,-61.268069,up
-1,0.000063,0.000551,-37.005376,down
0,0.000055,0.000522,-29.486175,down
0,0.000048,0.000501,-28.344781,down
0,0.000041,0.0005,-29.213149,down
-1,0.000036,0.000487,-33.659177,down
-1,0.00003,0.000487,-56.462251,up
0,0.000024,0.000384,-55.763402,down
0,0.000018,0.000406,-58.684987,down
0,0.000013,0.000402,-39.75232,down
0,0.000008,0.000395,-49.906414,down
0,0.000004,0.000346,-27.132636,down
0,-0.000001,0.000345,-87.46278,up
0,-0.000006,0.000338,-53.521082,up
0,-0.00001,0.000329,-43.499671,up
0,-0.000014,0.000338,-76.254307,up
0,-0.000018,0.000338,-47.607151,up
0,-0.00002,0.000304,-2.303844,up
0,-0.000019,0.000304,76.685096,no
0,-0.000015,0.000405,115.381207,down
0,-0.000008,0.000494,100.719165,down
1,0.000001,0.000624,106.557822,down
0,0.000007,0.000623,1.284157,down
0,0.000012,0.000626,23.145441,down
0,0.000013,0.000629,-19.85832,down
0,0.000013,0.000633,-18.491958,down
0,0.000009,0.000664,-54.688975,down
0,0.000002,0.000727,-71.433903,down
0,-0.000009,0.000876,-97.907001,down
0,-0.000023,0.001025,-90.516126,down
0,-0.000042,0.0013,-107.222046,down
-1,-0.000063,0.001523,-91.416864,down
-2,-0.000085,0.001721,-81.236861,down
-2,-0.000108,0.0019,-74.43884,down
-2,-0.000126,0.001969,-48.192966,down
-2,-0.000143,0.002082,-57.410014,up
-2,-0.000157,0.002161,-49.920178,up
-2,-0.00017,0.002245,-53.683122,up
-2,-0.000182,0.002272,-48.379049,up
-2,-0.000191,0.002209,-40.069381,up
-1,-0.000196,0.002079,-31.456398,up
0,-0.000197,0.001821,-13.61723,down
0,-0.000193,0.001683,-0.237622,down
0,-0.000187,0.00148,-14.732,down
0,-0.000181,0.001308,-14.072272,up
0,-0.000175,0.001078,-11.963852,down
0,-0.000169,0.000876,-20.662198,up
0,-0.000164,0.000676,-34.895058,up
0,-0.00016,0.000558,-27.251699,down
0,-0.000153,0.000458,53.955248,down
0,-0.000146,0.000455,6.58784,down
0,-0.00014,0.000456,-6.145318,down
0,-0.000133,0.000454,-6.603782,down
0,-0.000129,0.000469,-56.502203,up
0,-0.000125,0.000457,-31.738564,down
0,-0.000124,0.000545,-95.661772,up
-1,-0.000125,0.000636,-89.849566,up
