@relation 2017-05-09

@attribute BBU numeric
@attribute BBM numeric
@attribute BBL numeric
@attribute RSI numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute Prediction {down,up,no}

@data
1.09259,1.092467,1.092343,3,0,1,0,-0.000073,up
1.092572,1.092473,1.092374,3,0,0,0,-0.00007,up
1.092569,1.092474,1.092379,3,0,-1,0,-0.000066,up
1.092591,1.09247,1.092349,2,0,-4,-1,-0.000065,up
1.092592,1.09247,1.092349,3,0,-2,0,-0.000062,up
1.092606,1.092474,1.092342,3,0,2,0,-0.000059,down
1.092639,1.092483,1.092326,4,0,4,1,-0.000055,down
1.092649,1.092486,1.092323,3,0,2,0,-0.00005,down
1.09265,1.092486,1.092323,3,0,0,0,-0.000047,up
1.092653,1.09249,1.092327,3,0,0,0,-0.000043,down
1.092656,1.092498,1.09234,3,0,1,0,-0.000039,down
1.092674,1.092505,1.092336,3,0,2,0,-0.000035,down
1.092678,1.09251,1.092341,3,0,1,0,-0.000031,down
1.092678,1.092512,1.092345,3,0,0,0,-0.000028,down
1.092685,1.092506,1.092327,3,0,-2,0,-0.000027,up
1.092686,1.092507,1.092329,3,0,0,0,-0.000025,down
1.092686,1.092507,1.092328,3,0,0,0,-0.000024,up
1.092683,1.092502,1.092322,3,0,-1,0,-0.000023,down
1.09268,1.092499,1.092318,3,0,0,0,-0.000023,down
1.092678,1.092496,1.092314,3,0,0,0,-0.000022,down
1.092675,1.092493,1.092311,3,0,-1,0,-0.000022,down
1.092676,1.092494,1.092312,3,0,0,0,-0.000021,down
1.092691,1.092489,1.092287,2,0,-2,0,-0.000022,down
1.092676,1.092494,1.092312,3,0,-2,0,-0.000023,down
1.092684,1.092488,1.092293,3,0,-2,0,-0.000024,down
1.092692,1.092475,1.092257,2,0,-3,-1,-0.000026,up
1.092689,1.092455,1.092221,2,0,-3,-1,-0.000028,up
1.092696,1.092437,1.092178,2,0,-3,-1,-0.000032,up
1.092702,1.092426,1.092151,2,0,-2,0,-0.000035,down
1.092698,1.092413,1.092129,2,0,-2,0,-0.000038,down
1.092677,1.092401,1.092125,3,0,-1,0,-0.00004,down
1.092644,1.092383,1.092122,2,0,-2,0,-0.000042,down
1.092623,1.092367,1.09211,2,0,-1,0,-0.000044,down
1.092629,1.092345,1.092062,2,0,-3,-1,-0.000048,down
1.092649,1.092329,1.09201,2,0,-3,-1,-0.000051,down
1.092623,1.092317,1.092011,2,0,-1,0,-0.000054,down
1.092608,1.0923,1.091993,2,0,-1,0,-0.000056,down
1.092638,1.092273,1.091908,2,0,-3,-1,-0.00006,down
1.092715,1.092232,1.09175,2,0,-5,-1,-0.000067,down
1.092825,1.09218,1.091534,1,-1,-4,-1,-0.000078,down
1.092851,1.092132,1.091413,2,0,-4,-1,-0.00009,down
1.092878,1.092075,1.091273,2,0,-3,-1,-0.000103,down
1.092915,1.092025,1.091135,2,0,-3,-1,-0.000117,down
1.092932,1.091964,1.090995,2,0,-3,0,-0.000132,down
1.092946,1.091901,1.090856,1,-1,-2,0,-0.000147,down
1.092966,1.091836,1.090706,1,-1,-2,0,-0.000163,down
1.092966,1.091774,1.090582,1,-2,-2,0,-0.000179,down
1.092955,1.091711,1.090467,1,-2,-2,0,-0.000193,down
1.092909,1.091648,1.090386,1,-1,-2,0,-0.000206,down
1.092861,1.091576,1.090291,1,-1,-2,0,-0.000219,down
1.092818,1.091487,1.090157,1,-2,-2,0,-0.000233,down
1.092754,1.091401,1.090049,1,-2,-2,0,-0.000246,up
1.09269,1.091308,1.089926,1,-2,-2,0,-0.000261,up
1.092596,1.09123,1.089865,1,-1,-2,0,-0.000273,up
1.092484,1.091152,1.08982,1,-1,-1,0,-0.000284,up
1.092294,1.091059,1.089824,2,0,-2,0,-0.000294,up
1.092071,1.090982,1.089894,2,0,-1,0,-0.0003,up
1.091884,1.090924,1.089964,2,0,-1,0,-0.000302,up
1.091747,1.090882,1.090017,2,0,0,0,-0.000301,up
1.091665,1.090852,1.090039,2,0,0,0,-0.000297,up
1.091548,1.090824,1.0901,3,0,0,0,-0.000289,up
1.09145,1.090794,1.090138,3,0,0,0,-0.00028,up
1.091363,1.090774,1.090184,3,0,0,0,-0.00027,up
1.091307,1.09076,1.090213,3,0,0,0,-0.000258,up
1.091275,1.090753,1.09023,3,0,1,0,-0.000245,up
1.091315,1.090761,1.090207,3,0,2,0,-0.000229,up
1.091394,1.090777,1.090159,4,0,3,1,-0.000212,down
1.091461,1.090793,1.090124,4,0,3,1,-0.000193,no
1.09155,1.090812,1.090075,4,0,3,0,-0.000172,down
1.091611,1.090834,1.090057,4,0,2,0,-0.000153,down
1.091673,1.090873,1.090073,4,0,2,0,-0.000134,down
1.0917,1.090907,1.090113,4,0,1,0,-0.000117,down
1.091702,1.090952,1.090203,4,0,1,0,-0.000101,down
1.091682,1.090968,1.090254,3,0,0,0,-0.000089,down
1.091652,1.090986,1.09032,3,0,0,0,-0.000081,down
1.091588,1.091009,1.090429,3,0,0,0,-0.000076,down
1.091609,1.091003,1.090397,2,0,-2,0,-0.000075,no
1.091673,1.090984,1.090295,2,0,-3,-1,-0.000079,up
1.091684,1.090976,1.090267,3,0,-2,0,-0.000083,down
1.091686,1.090973,1.09026,3,0,-1,0,-0.000086,up
1.091691,1.090958,1.090226,3,0,-1,0,-0.000089,up
1.091713,1.090945,1.090178,2,0,-1,0,-0.000093,up
1.091719,1.090932,1.090145,2,0,-1,0,-0.000097,up
1.091723,1.090916,1.090109,2,0,-1,0,-0.0001,up
1.091717,1.090909,1.090101,2,0,0,0,-0.0001,up
1.091725,1.090912,1.090098,3,0,0,0,-0.000096,down
1.091684,1.090898,1.090113,3,0,0,0,-0.00009,down
1.09168,1.090898,1.090115,3,0,1,0,-0.00008,down
1.09161,1.090877,1.090145,3,0,0,0,-0.000071,up
1.091573,1.090866,1.09016,3,0,0,0,-0.000063,up
1.091504,1.090846,1.090188,3,0,0,0,-0.000055,up
1.09147,1.090836,1.090203,3,0,0,0,-0.000048,up
1.091439,1.09083,1.090221,4,0,1,0,-0.00004,up
1.091496,1.090849,1.090202,4,0,2,0,-0.000031,up
1.091515,1.090858,1.090202,3,0,1,0,-0.000023,up
1.091533,1.090869,1.090205,3,0,1,0,-0.000017,up
1.091578,1.090909,1.09024,4,0,1,0,-0.000009,up
1.091565,1.090954,1.090343,4,0,2,0,-0.000001,up
1.091606,1.090989,1.090372,4,0,2,0,0.000008,down
1.091631,1.091014,1.090397,4,0,1,0,0.000015,no
1.091654,1.091048,1.090442,4,0,1,0,0.000023,down
1.091668,1.091098,1.090529,3,0,2,0,0.000032,down
1.091645,1.091133,1.09062,3,0,2,0,0.000039,up
1.09157,1.091158,1.090745,3,0,0,0,0.000044,up
1.091546,1.091179,1.090812,3,0,0,0,0.000047,up
1.091552,1.091182,1.090812,3,0,1,0,0.00005,up
1.091601,1.091204,1.090807,4,0,3,0,0.000054,down
1.091643,1.091216,1.090789,4,0,3,1,0.000058,down
1.091672,1.091241,1.09081,3,0,2,0,0.000063,up
1.091715,1.091267,1.090819,3,0,2,0,0.000068,down
1.0917,1.091293,1.090887,4,0,1,0,0.000072,up
1.091695,1.091315,1.090935,4,0,1,0,0.000075,up
1.091692,1.091325,1.090958,3,0,0,0,0.000077,up
1.091714,1.091339,1.090964,3,0,1,0,0.000078,up
1.091715,1.091363,1.091012,3,0,2,0,0.00008,up
