@relation 2017-03-27

@attribute BBU numeric
@attribute BBM numeric
@attribute BBL numeric
@attribute RSI numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute Prediction {down,up,no}

@data
1.084644,1.084472,1.084299,3,0,1,0,0.000007,up
1.084649,1.084475,1.0843,3,0,1,0,0.000008,up
1.08465,1.084475,1.084301,3,0,0,0,0.000009,up
1.084654,1.084478,1.084303,4,0,1,0,0.000009,up
1.084654,1.084478,1.084303,3,0,0,0,0.000009,up
1.084666,1.084485,1.084305,4,0,1,0,0.00001,down
1.084702,1.084499,1.084296,4,0,3,1,0.000012,down
1.084746,1.084518,1.084289,4,0,4,1,0.000015,down
1.084753,1.084533,1.084313,3,0,3,1,0.000018,down
1.084745,1.084545,1.084346,3,0,2,0,0.00002,down
1.084744,1.084547,1.08435,3,0,0,0,0.000022,no
1.084744,1.084547,1.08435,3,0,0,0,0.000023,up
1.084744,1.084547,1.084349,3,0,0,0,0.000023,up
1.084742,1.084545,1.084349,3,0,0,0,0.000023,up
1.084742,1.084547,1.084352,3,0,0,0,0.000022,up
1.084739,1.08455,1.084362,3,0,0,0,0.000021,up
1.084726,1.084559,1.084392,3,0,0,0,0.00002,up
1.084726,1.084562,1.084398,3,0,0,0,0.000019,up
1.084764,1.084571,1.084378,4,0,3,1,0.00002,up
1.084797,1.08458,1.084364,4,0,3,1,0.000022,up
1.08487,1.084599,1.084328,4,0,4,1,0.000025,up
1.08493,1.084618,1.084306,4,0,4,1,0.00003,up
1.084966,1.084637,1.084307,4,0,3,1,0.000035,down
1.085025,1.084658,1.084292,4,0,3,1,0.00004,down
1.085031,1.084677,1.084322,3,0,1,0,0.000045,down
1.085064,1.084693,1.084323,4,0,1,0,0.000049,down
1.085105,1.084707,1.08431,4,0,2,0,0.000054,down
1.085116,1.084712,1.084309,4,0,1,0,0.000057,down
1.085118,1.084715,1.084313,3,0,0,0,0.000059,up
1.085123,1.084723,1.084324,3,0,0,0,0.000059,down
1.085115,1.084728,1.084342,3,0,0,0,0.000058,up
1.085111,1.084733,1.084356,3,0,0,0,0.000055,up
1.085104,1.084737,1.08437,3,0,-1,0,0.000051,up
1.085119,1.084755,1.084392,4,0,0,0,0.000049,up
1.085106,1.084766,1.084425,3,0,0,0,0.000047,up
1.085087,1.084776,1.084465,3,0,0,0,0.000045,up
1.085098,1.084796,1.084493,3,0,1,0,0.000044,up
1.085154,1.084825,1.084496,3,0,4,1,0.000046,up
1.085215,1.084845,1.084475,3,0,4,1,0.00005,down
1.085263,1.084864,1.084466,3,0,3,1,0.000054,down
1.085282,1.084872,1.084462,3,0,2,0,0.000059,down
1.085321,1.084885,1.084448,3,0,2,0,0.000063,down
1.085368,1.084901,1.084434,3,0,2,0,0.000068,down
1.085392,1.084909,1.084427,3,0,2,0,0.000072,up
1.085402,1.08492,1.084437,3,0,1,0,0.000075,up
1.085403,1.084921,1.084439,3,0,0,0,0.000076,up
1.085406,1.084923,1.084439,4,0,0,0,0.000076,up
1.085416,1.084932,1.084448,4,0,0,0,0.000075,up
1.085482,1.084963,1.084445,4,0,2,0,0.000077,up
1.08557,1.084998,1.084426,4,0,3,1,0.000081,up
1.085688,1.08505,1.084413,4,0,3,1,0.000087,down
1.085805,1.085106,1.084406,4,0,4,1,0.000097,down
1.085851,1.085155,1.08446,4,0,3,1,0.000106,up
1.085923,1.085192,1.084461,4,0,2,0,0.000115,up
1.085968,1.08524,1.084512,4,0,2,0,0.000124,up
1.085981,1.085285,1.084589,4,0,2,0,0.000131,up
1.086022,1.085321,1.08462,4,0,1,0,0.000138,up
1.086062,1.085346,1.08463,4,0,1,0,0.000143,up
1.086111,1.085375,1.084639,4,0,1,0,0.000148,up
1.086146,1.085403,1.08466,4,0,1,0,0.000152,up
1.086225,1.08545,1.084675,5,1,2,0,0.000157,up
1.086427,1.085513,1.084599,5,1,3,1,0.000166,down
1.086569,1.08557,1.084572,5,1,3,1,0.000177,down
1.086645,1.085624,1.084603,4,0,2,0,0.000187,down
1.086744,1.085695,1.084647,4,0,3,0,0.000197,down
1.086747,1.085759,1.08477,4,0,2,0,0.000206,down
1.086717,1.085815,1.084913,4,0,1,0,0.000212,up
1.086647,1.085862,1.085078,3,0,0,0,0.000215,up
1.086616,1.085889,1.085163,3,0,0,0,0.000214,up
1.086614,1.085922,1.08523,4,0,0,0,0.000212,up
1.086632,1.085946,1.085259,4,0,0,0,0.00021,up
1.086699,1.085978,1.085258,4,0,1,0,0.000209,up
1.086902,1.086044,1.085186,4,0,3,1,0.000214,down
1.087024,1.086102,1.08518,4,0,3,1,0.00022,down
1.087084,1.08615,1.085215,4,0,2,0,0.000226,down
1.087142,1.086205,1.085268,4,0,2,0,0.000232,down
1.08719,1.086259,1.085327,4,0,2,0,0.000237,down
1.087152,1.086288,1.085424,3,0,0,0,0.000238,up
1.087122,1.08632,1.085517,3,0,0,0,0.000235,down
1.087075,1.086354,1.085634,3,0,0,0,0.000231,down
1.087061,1.086374,1.085687,3,0,0,0,0.000225,down
1.087059,1.086372,1.085685,3,0,0,0,0.000218,down
1.087058,1.08637,1.085683,3,0,0,0,0.00021,up
1.087058,1.086376,1.085694,3,0,0,0,0.0002,up
