@relation 2017-03-05

@attribute BBU numeric
@attribute BBM numeric
@attribute BBL numeric
@attribute RSI numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute Prediction {down,up,no}

@data
1.062645,1.061887,1.061129,2,0,-5,-1,0.000064,down
1.062897,1.061835,1.060772,2,0,-5,-1,0.000047,down
1.063053,1.061779,1.060505,2,0,-4,-1,0.000024,down
1.06313,1.061701,1.060272,2,0,-3,-1,-0.000002,down
1.063185,1.061629,1.060072,2,0,-2,0,-0.000029,down
1.06321,1.061565,1.059921,2,0,-2,0,-0.000056,down
1.063219,1.061488,1.059757,2,0,-2,0,-0.000082,down
1.063197,1.061403,1.059608,2,0,-1,0,-0.000107,down
1.063177,1.061319,1.05946,2,0,-1,0,-0.000131,down
1.063079,1.061225,1.059371,2,0,-1,0,-0.000154,down
1.063025,1.061128,1.059232,2,0,-1,0,-0.000176,up
1.062997,1.061042,1.059087,1,-2,-1,0,-0.000197,up
1.062919,1.060961,1.059003,2,0,-1,0,-0.000216,up
1.062814,1.060879,1.058943,1,-2,-1,0,-0.000231,up
1.062675,1.060797,1.058919,1,-2,-1,0,-0.000243,up
1.062465,1.060707,1.058949,1,-2,-1,0,-0.000252,up
1.062258,1.060638,1.059018,3,0,0,0,-0.000257,up
1.06193,1.060558,1.059186,3,0,0,0,-0.000256,up
1.061514,1.060486,1.059458,3,0,0,0,-0.000252,up
1.060916,1.06041,1.059903,3,0,0,0,-0.000245,up
1.060903,1.060407,1.059911,3,0,1,0,-0.000236,up
1.060946,1.06042,1.059893,3,0,2,0,-0.000224,up
1.060998,1.060433,1.059868,4,0,2,0,-0.000211,up
1.061049,1.060447,1.059846,4,0,2,0,-0.000196,up
1.061076,1.060458,1.059839,4,0,1,0,-0.000182,up
1.061115,1.060469,1.059822,4,0,2,0,-0.000167,up
1.061163,1.060488,1.059812,4,0,1,0,-0.000153,up
1.061231,1.060515,1.0598,5,1,2,0,-0.000138,up
1.061287,1.060547,1.059808,4,0,2,0,-0.000122,up
1.061339,1.060577,1.059816,4,0,1,0,-0.000107,up
1.061345,1.060619,1.059893,4,0,1,0,-0.000093,up
1.06133,1.060668,1.060006,4,0,1,0,-0.00008,down
1.06133,1.060709,1.060087,4,0,1,0,-0.000067,down
1.061309,1.060749,1.060189,4,0,1,0,-0.000055,down
1.061277,1.060786,1.060295,4,0,1,0,-0.000044,down
1.061202,1.06082,1.060438,4,0,1,0,-0.000034,up
1.061184,1.06084,1.060496,4,0,1,0,-0.000026,up
1.061154,1.060855,1.060557,3,0,0,0,-0.000019,up
