@relation '2017-04-01 — kopia'

@attribute BBU numeric
@attribute BBM numeric
@attribute BBL numeric
@attribute RSI numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute Prediction {up,down,no}

@data
1.056048,1.055699,1.05535,2,0,-2,0,0.000007,up
1.056042,1.055679,1.055316,2,0,-2,0,0.000001,up
1.056029,1.05566,1.055291,2,0,-2,0,-0.000005,up
1.055977,1.055635,1.055293,2,0,-2,0,-0.00001,up
1.055904,1.05561,1.055316,2,0,-2,0,-0.000015,up
1.05584,1.055594,1.055347,2,0,-1,0,-0.000019,up
1.055828,1.055587,1.055347,2,0,0,0,-0.000021,up
1.055796,1.055581,1.055367,3,0,1,0,-0.000022,down
1.055816,1.055586,1.055355,4,0,2,0,-0.000021,down
1.055862,1.055592,1.055323,4,0,3,1,-0.000017,down
1.055884,1.055597,1.055311,3,0,3,1,-0.000013,down
1.055888,1.055599,1.05531,3,0,1,0,-0.000009,up
1.055888,1.055597,1.055307,3,0,0,0,-0.000007,up
1.055884,1.055592,1.0553,3,0,0,0,-0.000007,up
1.055887,1.055593,1.055299,3,0,0,0,-0.000006,up
1.055902,1.055599,1.055296,3,0,1,0,-0.000004,up
1.055934,1.055608,1.055283,4,0,2,0,-0.000001,down
1.055963,1.055621,1.055279,4,0,2,0,0.000002,down
1.055967,1.055627,1.055286,3,0,0,0,0.000004,down
1.055992,1.055641,1.05529,4,0,1,0,0.000007,down
1.055999,1.055655,1.055311,3,0,1,0,0.00001,down
1.056,1.055671,1.055342,3,0,1,0,0.000013,down
1.055987,1.055678,1.055369,3,0,0,0,0.000014,down
1.056095,1.055659,1.055223,2,0,-4,-1,0.000009,down
1.056193,1.055635,1.055078,2,0,-4,-1,0.000001,down
1.056303,1.0556,1.054897,2,0,-4,-1,-0.000012,down
1.056496,1.055543,1.054589,2,0,-4,-1,-0.00003,down
1.056614,1.055478,1.054342,2,0,-4,-1,-0.000051,down
1.056656,1.055415,1.054174,2,0,-3,-1,-0.000073,down
1.056656,1.055344,1.054033,2,0,-2,0,-0.000095,down
1.056679,1.055267,1.053855,1,-1,-2,0,-0.000117,down
1.056715,1.055187,1.05366,1,-2,-2,0,-0.00014,up
1.05675,1.055111,1.053473,1,-2,-2,0,-0.000164,up
1.056744,1.055043,1.053342,1,-1,-2,0,-0.000185,down
1.056723,1.054955,1.053186,1,-2,-2,0,-0.000205,up
1.056641,1.054873,1.053105,1,-1,-1,0,-0.000223,down
1.056507,1.054793,1.05308,2,0,-1,0,-0.000237,down
1.056349,1.054715,1.053082,2,0,-1,0,-0.000247,down
1.056211,1.054636,1.05306,2,0,-1,0,-0.000255,down
1.055995,1.054549,1.053103,2,0,-1,0,-0.000262,up
1.055755,1.054462,1.053169,2,0,-1,0,-0.000266,up
1.055451,1.054372,1.053293,2,0,-1,0,-0.00027,up
1.055126,1.054292,1.053458,2,0,-1,0,-0.000272,up
1.054953,1.054237,1.053521,2,0,-1,0,-0.000273,up
1.054762,1.054195,1.053628,3,0,0,0,-0.000271,up
1.054584,1.054158,1.053731,2,0,0,0,-0.000268,up
1.054561,1.054152,1.053743,3,0,0,0,-0.000261,down
1.054538,1.054146,1.053754,3,0,1,0,-0.000253,down
1.054475,1.054134,1.053792,3,0,0,0,-0.000243,up
1.054465,1.054132,1.053799,3,0,2,0,-0.000231,down
1.054465,1.054132,1.053799,4,0,2,0,-0.000219,down
1.054479,1.05414,1.053802,3,0,1,0,-0.000207,down
1.054478,1.054145,1.053813,3,0,0,0,-0.000196,down
1.054494,1.054153,1.053811,3,0,1,0,-0.000186,down
1.054476,1.054159,1.053843,3,0,0,0,-0.000177,up
1.054494,1.05415,1.053806,3,0,-2,0,-0.00017,up
1.054492,1.054137,1.053781,3,0,-2,0,-0.000165,up
1.054483,1.054122,1.053761,3,0,-2,0,-0.000161,up
1.054483,1.054123,1.053762,3,0,-1,0,-0.000156,up
1.054483,1.054121,1.053758,3,0,-1,0,-0.000152,up
1.054496,1.054132,1.053768,3,0,0,0,-0.000145,up
1.054508,1.054148,1.053787,3,0,1,0,-0.000137,up
1.054545,1.054168,1.053791,3,0,3,0,-0.000127,down
1.054645,1.054202,1.053758,4,0,3,1,-0.000114,down
1.054702,1.054221,1.05374,3,0,3,1,-0.000101,down
1.05474,1.054241,1.053742,3,0,2,0,-0.000087,down
1.054744,1.054243,1.053742,3,0,1,0,-0.000075,down
1.054742,1.054234,1.053726,3,0,0,0,-0.000066,up
1.054739,1.054228,1.053716,3,0,0,0,-0.00006,down
1.054726,1.054223,1.053721,3,0,0,0,-0.000054,down
1.054733,1.054228,1.053722,3,0,1,0,-0.000048,down
1.054729,1.054223,1.053716,3,0,0,0,-0.000044,down
1.054729,1.054222,1.053715,3,0,0,0,-0.000042,up
1.054723,1.054212,1.053702,3,0,0,0,-0.00004,down
1.054721,1.054221,1.05372,3,0,0,0,-0.000039,down
